objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
011,93194,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,87548498,5.57873,6.05267,2.7708,9998,820,thing,011,3,6,90,90,90,2011,"4,5,6",4,10+,No necessary in-game text,,,,,,standalone,,,,,
12 Days,130899,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,32646914,5.92319,6.53144,1.2059,3498,3575,thing,12 Days,3,5,15,15,15,2011,"3,4,5","4,5",6+,No necessary in-game text,,,,,,standalone,,,,,
13 Beavers,423850,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,123925124,5.54799,6.66829,1,12626,370,thing,13 Beavers,2,6,30,30,30,2024,"2,4,5,6","4,5,6",4+,,,,,,,standalone,,,,,
"13 Days: The Cuban Missile Crisis, 1962",177590,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,35218119,6.63899,7.20312,2.3289,982,7510,thing,"13 Days: The Cuban Missile Crisis, 1962",2,2,45,45,45,2016,2,2,12+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
13 Dead End Drive,1899,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,115929038,5.75126,6.10453,1.3824,5098,6088,thing,13 Dead End Drive,2,4,45,45,45,1993,"2,3,4","3,4",8+,No necessary in-game text,,,,,,standalone,,,,,
"13 Minutes: The Cuban Missile Crisis, 1962",203828,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,124889975,5.83102,6.36574,2.0588,4204,2865,thing,"13 Minutes: The Cuban Missile Crisis, 1962",2,2,13,13,13,2017,2,2,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
15 Men,287304,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,118876528,5.50326,5.82432,1.6,22614,282,thing,15 Men,2,5,60,60,45,2019,"2,3,4,5",5,12+,,,,,,,standalone,,,,,
1500: The New World,220440,0,0,0,1,0,0,0,0,0,0,0,2,,,,,,118876883,5.49445,5.40282,1.7778,24540,295,thing,1500: The New World,2,6,60,60,45,2017,"1,2,3,4,5,6","3,4,5,6",16+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
1500: The New World – England Expansion,247444,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114576213,0,5.40909,3,0,141,thing,1500: The New World – England Expansion,2,6,60,60,45,2017,,,,,,,,,,expansion,,,,,
1500: The New World – France Expansion,247447,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114576193,0,5.40909,0,0,138,thing,1500: The New World – France Expansion,2,6,60,60,45,2017,,,,,,,,,,expansion,,,,,
1500: The New World – Netherlands Expansion,247443,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114576200,0,5.85,3,0,132,thing,1500: The New World – Netherlands Expansion,2,6,60,60,45,2017,,,,,,,,,,expansion,,,,,
1500: The New World – Portugal Expansion,247445,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,114576205,0,6.31818,3,0,132,thing,1500: The New World – Portugal Expansion,2,6,60,60,45,2018,,,,,,,,,,expansion,,,,,
1500: The New World – Spain Expansion,247446,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,107524949,0,5.34615,2.5,0,139,thing,1500: The New World – Spain Expansion,2,6,60,60,45,2017,"1,2,3,4,5,6","1,4,5,6",16+,Extensive use of text - massive conversion needed to be playable,,,,,,expansion,,,,,
1960: The Making of the President,27708,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,117615779,7.19494,7.6214,3.2032,294,11374,thing,1960: The Making of the President,2,2,120,120,90,2007,2,2,14+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
1998 ISS,367280,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,120552642,5.81422,7.31946,2.9375,4375,1416,thing,1998 ISS,1,4,90,90,60,2022,"1,2,3,4","2,3",12+,No necessary in-game text,,,,,,standalone,,,,,
20th Century,85036,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,119772180,6.10452,6.82538,2.9857,2503,2327,thing,20th Century,3,5,120,120,120,2010,"3,4,5",5,12+,No necessary in-game text,,,,,,standalone,,,,,
20th Century Limited,118703,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,53414410,5.62935,6.80177,2.4762,7612,485,thing,20th Century Limited,2,5,60,60,30,2015,"2,3,4,5",3,8+,No necessary in-game text,,,,,,standalone,,,,,
25 Words or Less,621,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,115926563,5.73173,6.58727,1.5208,5396,1066,thing,25 Words or Less,4,99,35,35,20,1996,"4,6,8,10","4,8",12+,Unplayable in another language,,,,,,standalone,,,,,
3 Laws of Robotics,271447,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,116589539,5.52608,6.15957,2.25,16356,379,thing,3 Laws of Robotics,4,8,45,45,30,2019,,"4,5",10,,,,,,,standalone,,,,,
3 Seeds: Reap Where You Sow,179227,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,38761549,5.50089,5.84262,1.5,23207,182,thing,3 Seeds: Reap Where You Sow,2,5,45,45,30,2016,"3,4,5",4,,,,,,,,standalone,,,,,
300: The Board Game,28843,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,22668690,5.5285,5.98974,1.8889,15817,308,thing,300: The Board Game,2,4,30,30,30,2007,2,2,10+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
4 Seasons,73312,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,116589591,5.56434,6.19241,1.8182,11051,648,thing,4 Seasons,2,2,15,15,15,2010,2,2,10+,No necessary in-game text,,,,,,standalone,,,,,
4-mation,34825,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,38253231,5.49025,4.92353,1,25201,179,thing,4-mation,2,6,0,0,0,2007,,,8,,,,,,,standalone,,,,,
5-Minute Marvel,253618,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,56770513,6.21406,6.76158,1.137,2044,7222,thing,5-Minute Marvel,2,5,5,5,5,2018,"2,3,4,5","3,4",6+,Some necessary text - easily memorized or small crib sheet,,,,,,standalone,,,,,
50 Clues: Dead or Alive,339741,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,119984269,5.56672,6.46763,2,10849,514,thing,50 Clues: Dead or Alive,1,5,90,90,90,2021,"1,2,3",2,16+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
50 Clues: Keepers of Evil,339743,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,119984274,5.54654,6.37778,3,12778,452,thing,50 Clues: Keepers of Evil,1,5,90,90,90,2021,"1,2,3,4",2,16+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
50 Clues: The Fate of Leopold,282008,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,119984264,5.65561,6.461,1.9,6859,1058,thing,50 Clues: The Fate of Leopold,1,5,90,90,90,2019,"1,2,3",2,16+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
50 Clues: The Secret of the Mark,339742,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,119984277,5.55273,6.42328,2,12091,453,thing,50 Clues: The Secret of the Mark,1,5,90,90,90,2021,"1,2,3",2,16+,Moderate in-game text - needs crib sheet or paste ups,,,,,,standalone,,,,,
50 Clues: White Sleep,282007,0,0,0,1,0,0,0,0,0,0,0,1,,,,,,119984263,5.68047,6.54384,2,6302,1065,thing,50 Clues: White Sleep,1,5,90,90,90,2019,"1,2,3",2,16+,Extensive use of text - massive conversion needed to be playable,,,,,,standalone,,,,,
51st State,73369,0,0,0,1,0,0,0,0,0,0,0,3,,,,,,84480230,6.24198,6.79808,3.1008,1935,3742,thing,51st State,2,4,90,90,40,2010,"2,3,4","2,3",12+,No necessary in-game text,,,,,,standalone,,,,,
