objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"12 Days","130899","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38229025","5.92319","6.53144","1.2059","3499","3575","thing","12 Days","3","5","15","15","15","2015","3,4,5","4,5","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Calliope Games","English","2015","English second edition"
"6 nimmt!","432","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","38158526","6.84812","6.97405","1.1919","665","45813","thing","Take 5","2","10","45","45","45","2015","3,4,5,6,7,8,9,10","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Mayfair Games","English","2015","English edition 2015"
"7 Wonders","68448","8.5","2","3","1","0","0","0","0","0","0","0","3","","","","","","28632296","7.56288","7.67392","2.3165","102","147711","thing","7 Wonders","2","7","30","30","30","2014","3,4,5,6,7","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Repos Production","English","2014","Repos English R17 edition 2014"
"7 Wonders Duel","173346","0","1","0","1","0","0","0","0","0","0","0","3","","","","","","30563237","7.9651","8.08942","2.2256","20","168507","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Repos Production","English","2015","English first edition R01"
"7 Wonders: Babel","154638","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","29563208","6.36656","6.86778","2.6569","0","14950","thing","7 Wonders: Babel","2","7","45","45","45","2014","3,4,5,6,7","5","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Repos Production","English","2014","English European edition"
"7 Wonders: Wonder Pack","133993","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","37123588","6.97842","7.59066","2.2645","0","18101","thing","7 Wonders: Wonder Pack","2","7","30","30","30","2013","3,4,5,6,7","4","10+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Repos Production","English; French; German; Spanish","2013","English/French/German/Spanish edition"
"Above and Below","172818","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","34254908","7.09291","7.3567","2.5203","382","26209","thing","Above and Below","2","4","90","90","90","2015","2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Red Raven Games","English","2015","English edition"
"Abracada...What?","163930","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","28485577","5.97013","6.56002","1.6301","3184","2493","thing","Abracada...What?","2","5","30","30","30","2015","3,4,5","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Z-Man Games","English","2015","English-only first edition"
"Abyss","155987","9","0","0","1","0","0","0","0","0","0","0","2","","","","","","29497884","7.06202","7.32536","2.322","418","20182","thing","Abyss","2","4","60","60","30","2014","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Bombyx","English","2014","English first edition"
"Abyss: Kraken","180341","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","34191141","6.5514","7.66484","2.4828","0","7541","thing","Abyss: Kraken","2","4","60","60","30","2015","2,3,4","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","expansion","","","","","","","","","","","","Bombyx","English","2015","English edition"
"Acquire","5","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","31242618","7.1292","7.35078","2.4934","345","28208","thing","Acquire","2","6","90","90","90","2008","3,4,5,6","4","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Avalon Hill","English","2008","Avalon Hill (Hasbro) edition"
"Age of War","155695","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","34254925","6.20125","6.44809","1.116","2090","12275","thing","Age of War","2","6","30","30","15","2014","2,3,4,5,6","4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Fantasy Flight Games","English","2014","English edition"
"Agricola (Revised Edition)","200680","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50411476","7.64048","7.95033","3.4472","79","26601","thing","Agricola (Revised Edition)","1","4","120","120","30","2016","1,2,3,4","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Mayfair Games","English","2016","Mayfair English edition"
"Airlines Europe","90419","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","40751427","6.88099","7.30111","2.4332","621","8286","thing","Airlines Europe","2","5","75","75","75","2011","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Rio Grande Games","English","2011","English first edition"
"Alhambra: Big Box","45358","0","1","0","1","0","0","0","0","0","0","0","1","","","","","","27773762","6.83842","7.48715","2.3247","0","9865","thing","Alhambra: Big Box","2","6","60","60","60","2009","2,3,4,5","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","Queen Games","English","2009","English edition"
"The aMAZEing Labyrinth","1219","6","1","0","1","0","0","0","0","0","0","0","3","","","","","","10717741","6.23598","6.41065","1.3414","1958","31034","thing","Labyrinth","2","4","20","20","20","2002","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ravensburger","English","2002","Ravensburger English edition 2002"
"Amerigo","137408","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","28632950","6.93207","7.43716","2.9685","552","7876","thing","Amerigo","2","4","90","90","90","2013","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Queen Games","Dutch; English; French; German","2013","Multilingual first edition"
"Among the Stars","110277","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","30562876","6.66198","7.02054","2.2358","942","9733","thing","Among the Stars","2","4","30","30","30","2014","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Artipia Games; Stronghold Games","English","2014","English edition 2014"
"Amphipolis","181244","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38960817","5.54426","6.18085","1.6667","13092","204","thing","Amphipolis","1","4","30","30","30","2015","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Desyllas Games","English; French; German","2015","Multilingual first edition"
"Amun-Re","5404","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","10717755","6.93418","7.28595","3.0285","547","10604","thing","Amun-Re","3","5","90","90","90","2003","4,5","5","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Hans im Glück; Rio Grande Games","English","2003","English first edition"
"Animal Upon Animal: Crest Climbers","111081","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","32264635","5.70704","6.92191","1.0714","5806","609","thing","Animal Upon Animal: Crest Climbers","2","4","15","15","15","2015","2,3,4","2,3,4","3+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","HABA","Dutch; English; French; German; Italian; Spanish","2015","Multilingual first edition (English packaging)"
"Animals on Board","191572","4.4","0","0","1","0","0","0","0","0","0","0","1","","","","","","35099776","6.01371","6.52906","1.5152","2937","2996","thing","Animals on Board","2","4","30","30","15","2016","3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Stronghold Games","English","2016","English-only edition"
"Arcadia Quest","155068","0","0","0","1","0","0","0","0","0","0","0","2","","","","","","29580252","7.15693","7.59627","2.5337","327","16798","thing","Arcadia Quest","2","4","60","60","60","2014","2,3,4","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","Cool Mini Or Not; Spaghetti Western Games","English","2014","English edition"
"Arcane Academy","144734","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","37123521","5.86929","6.69037","2.15","3886","1707","thing","Arcane Academy","2","4","45","45","30","2016","2,3,4","2","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","3WS Games; IDW Games","English","2016","English edition"
"Arena: For the Gods!","207753","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","60086696","5.79041","6.43061","1.7692","4633","2003","thing","Arena: For the Gods!","2","6","40","40","30","2017","2,3,4,5,6","4","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","IELLO","English","2017","English edition"
"Asara","72991","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","31262696","6.35801","6.99708","2.34","1590","4057","thing","Asara","2","4","45","45","45","2012","2,3,4","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Ravensburger","English","2012","English edition"
"Ashes: Rise of the Phoenixborn","167400","0","0","0","1","0","0","0","0","0","0","0","1","","","","","","29686871","6.75271","7.30473","2.8995","789","11846","thing","Ashes Reborn: Rise of the Phoenixborn","2","4","120","120","30","2015","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","Plaid Hat Games","English","2015","English first edition"
"Azul","230802","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","47346851","7.62548","7.73506","1.7686","84","160825","thing","Azul","2","4","45","45","30","2017","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Plan B Games","English","2017","English first edition"
"Azul: Crystal Mosaic","294345","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","70142204","6.35813","7.27012","1.7083","0","10817","thing","Azul: Crystal Mosaic","2","4","45","45","30","2020","2,3,4","2","8+","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Next Move Games","English","2020","English edition"
"Azul: Stained Glass of Sintra","256226","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","56358501","7.00744","7.29572","2.007","466","23399","thing","Azul: Stained Glass of Sintra","2","4","45","45","30","2018","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Next Move Games","English; French","2018","English-only edition"
"Babel","986","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","38158683","6.23654","6.64364","2.4034","1956","6811","thing","Babel","2","2","60","60","45","2014","2","2","12+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Z-Man Games","English","2014","English second edition"
"Back to the Future: An Adventure Through Time","184460","4","0","0","1","0","0","0","0","0","0","0","3","","","","","","34442873","5.51647","5.7382","2.3333","18888","826","thing","Back to the Future: An Adventure Through Time","2","4","30","30","30","2016","2,3,4","3","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","IDW Games","English","2016","English edition"
"Batman: Gotham City Chronicles","222514","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","50480521","6.49489","7.6171","3.7717","1258","6606","thing","Batman: Gotham City Chronicles","2","4","90","90","60","2019","2,3,4","2","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","Monolith Board Games","English","2019","English edition"
"Batman: Gotham City Chronicles – Arkham Asylum Expansion","250665","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","55839067","5.66544","8.35057","4","0","2508","thing","Batman: Gotham City Chronicles – Arkham Asylum Expansion","2","4","90","90","60","2019","2,3,4","4","","No necessary in-game text","","","","","","expansion","","","","","","","","","","","","Monolith Board Games","English; French","2019","English/French edition"
"Batman: Gotham City Chronicles – The Batmobile Expansion","250968","0","0","0","1","0","0","0","0","0","0","0","3","","","","","","55839073","5.60796","7.95808","4","0","2230","thing","Batman: Gotham City Chronicles – The Batmobile Expansion","2","4","90","90","60","2019","","","","","","","","","","expansion","","","","","","","","","","","","Monolith Board Games","English; French; German; Spanish","2019","English/French/German/Spanish edition"
